,City,Country,Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Århus,Denmark,57.05N,10.33E,1.3698333333333332,1.414583333333333,3.345708333333334,7.315541666666667,12.062500000000002,15.201041666666667,17.696666666666665,17.431875,13.706913043478266,8.922130434782607,4.982,1.747
1,Çorlu,Turkey,40.99N,27.69E,4.729375,5.218375,7.799124999999999,11.918708333333333,17.008583333333334,21.49508333333333,23.994874999999997,24.197,20.062652173913044,15.589347826086957,10.766739130434784,6.62304347826087
2,Çorum,Turkey,40.99N,34.08E,-0.1808333333333334,1.2237916666666668,5.1316250000000005,9.815666666666667,14.493875000000003,18.462583333333335,21.516833333333334,21.559041666666662,17.236652173913047,11.952478260869565,5.659043478260871,1.479391304347826
3,Öskemen,Kazakhstan,50.63N,82.39E,-15.803875,-13.603583333333335,-6.613833333333333,4.494750000000001,12.460999999999999,17.497875000000004,19.034999999999997,17.032416666666666,11.092869565217391,4.077608695652174,-5.63913043478261,-12.985652173913044
4,Ürümqi,China,44.20N,87.20E,-14.809458333333334,-10.467916666666666,-0.5157916666666666,10.890625000000002,17.701541666666667,22.67475,24.160916666666665,22.79041666666667,17.002478260869562,8.244478260869567,-1.4605217391304344,-11.025217391304349
5,A Coruña,Spain,42.59N,8.73W,9.180166666666667,9.743374999999999,11.7615,12.306208333333336,14.880708333333333,17.501625,19.22345833333334,19.709041666666668,17.95073913043478,14.91013043478261,11.571,9.63604347826087
6,Aachen,Germany,50.63N,6.34E,1.9999583333333337,2.683375,5.917708333333336,9.249791666666665,13.532375000000002,16.215458333333338,18.352833333333336,18.120291666666663,14.334260869565218,9.984,5.707869565217392,2.2731739130434785
7,Aalborg,Denmark,57.05N,10.33E,1.3698333333333332,1.414583333333333,3.345708333333334,7.315541666666667,12.062500000000002,15.201041666666667,17.696666666666665,17.431875,13.706913043478266,8.922130434782607,4.982,1.747
8,Aba,Nigeria,5.63N,8.07E,27.08633333333334,28.63858333333333,29.190458333333336,28.493000000000006,27.67183333333334,26.71320833333333,26.093,25.90308333333333,26.262434782608697,26.475217391304344,27.147,26.835478260869564
9,Abadan,Iran,29.74N,48.00E,13.29170833333333,15.504874999999998,19.641958333333335,25.392,31.731624999999998,35.66104166666667,37.17924999999999,36.89083333333333,33.5524347826087,28.305521739130437,20.702782608695653,15.202478260869569
10,Abakaliki,Nigeria,5.63N,8.07E,27.08633333333334,28.63858333333333,29.190458333333336,28.493000000000006,27.67183333333334,26.71320833333333,26.093,25.90308333333333,26.262434782608697,26.475217391304344,27.147,26.835478260869564
11,Abakan,Russia,53.84N,91.36E,-19.600875,-16.152541666666668,-7.111291666666666,3.001666666666667,10.923041666666668,16.620541666666668,19.022291666666668,16.142833333333332,9.15186956521739,1.6592173913043478,-7.808652173913044,-16.113999999999997
12,Abbotsford,Canada,49.03N,122.45W,1.1457499999999998,2.650291666666667,4.546583333333333,7.160249999999999,10.656333333333333,13.209791666666668,15.896416666666665,15.803749999999999,13.079083333333331,7.794043478260869,3.651652173913043,0.752217391304348
13,Abengourou,Côte D'Ivoire,7.23N,4.05W,27.314666666666664,29.003875000000004,29.227625000000007,28.397458333333333,27.809249999999995,26.561958333333333,25.537625000000002,25.24495833333333,25.75404347826087,26.378913043478256,27.115695652173915,26.911086956521736
14,Abeokuta,Nigeria,7.23N,4.05E,27.493249999999993,29.06391666666666,29.31983333333333,28.288125000000008,27.387750000000008,26.115791666666667,25.070208333333337,24.74858333333333,25.42291304347826,26.151652173913046,27.354086956521733,27.389478260869563
15,Aberdeen,United Kingdom,57.05N,1.48W,5.79775,5.268541666666667,5.8135,6.821208333333334,8.86975,11.249458333333335,13.611625000000002,14.1845,12.70973913043478,10.330000000000002,8.45608695652174,6.202260869565217
16,Abha,Saudi Arabia,18.48N,42.25E,19.644208333333335,21.474666666666668,23.21508333333333,25.301041666666666,28.15566666666666,29.96466666666667,29.89079166666667,29.6105,28.54060869565218,25.122260869565217,22.26869565217392,20.11360869565217
17,Abidjan,Côte D'Ivoire,5.63N,3.23W,27.219583333333333,28.559208333333327,28.807916666666667,28.178249999999995,27.464125000000006,26.08366666666667,25.043125000000003,24.70104166666667,25.35421739130435,26.168695652173916,27.205739130434782,27.162217391304353
18,Abiko,Japan,36.17N,139.23E,1.9514166666666666,3.0727083333333334,6.385333333333334,11.762416666666667,16.584458333333334,20.402333333333328,24.20141666666667,25.26216666666667,21.38482608695652,15.272043478260867,9.66513043478261,4.430217391304347
19,Abilene,United States,32.95N,100.53W,6.352375000000001,8.467291666666663,12.800374999999997,17.452541666666665,22.598875000000003,27.005375,28.55775,28.06916666666667,23.800583333333336,17.874347826086954,11.705739130434784,6.679565217391304
20,Abohar,India,29.74N,73.85E,12.954375,16.50466666666667,22.291,28.41304166666667,33.79204166666668,34.944750000000006,33.46941666666666,32.16391666666666,30.386913043478266,26.088913043478254,20.257652173913037,14.779826086956518
21,Abomey Calavi,Benin,7.23N,2.43E,28.426833333333335,29.860125000000007,30.028791666666674,28.94920833333332,28.087708333333328,26.784416666666672,25.808250000000005,25.424958333333336,26.080869565217387,26.848086956521744,28.261086956521744,28.391173913043477
22,Abu Dhabi,United Arab Emirates,24.92N,54.98E,18.981083333333334,20.380583333333337,22.888958333333335,26.808750000000007,31.046333333333333,33.217625,34.912083333333335,35.18420833333334,32.85095652173913,29.292913043478265,25.09582608695652,21.06013043478261
23,Abuja,Nigeria,8.84N,7.30E,26.137833333333333,28.72616666666666,30.203833333333336,29.344250000000006,27.406874999999996,26.032166666666665,25.26275,24.90908333333333,25.34065217391304,25.862000000000002,26.356260869565215,25.753173913043476
24,Acapulco,Mexico,16.87N,100.47W,25.588750000000005,25.40275,25.140083333333333,25.504708333333337,27.13304166666667,27.887041666666665,27.96825,27.909499999999998,27.461791666666667,27.452173913043477,27.20452173913043,26.24521739130435
25,Acarigua,Venezuela,8.84N,68.92W,27.29908333333334,28.116208333333336,29.007958333333338,28.84070833333333,28.215249999999997,27.329041666666665,26.924666666666667,27.228166666666663,27.694173913043482,27.83439130434782,27.906869565217384,27.449826086956524
26,Accra,Ghana,5.63N,0.00W,27.29075,28.222333333333342,28.473416666666665,28.102833333333326,27.768166666666662,26.383999999999997,25.23395833333333,24.873624999999993,25.56278260869565,26.238652173913046,27.387913043478257,27.375217391304353
27,Achalpur,India,21.70N,77.02E,19.922250000000002,22.653499999999994,27.24433333333333,31.620083333333337,34.37504166666667,31.316916666666668,27.386791666666664,26.484166666666667,27.07817391304348,26.078260869565216,23.119565217391305,20.246608695652174
28,Acheng,China,45.81N,128.08E,-20.394375,-14.522541666666669,-4.713958333333333,5.816708333333334,13.830124999999997,19.575416666666673,22.301416666666668,20.653125000000003,13.914695652173908,4.98,-6.583086956521738,-17.12882608695652
29,Achinsk,Russia,57.05N,90.00E,-18.589000000000002,-14.821249999999997,-7.223,1.2517500000000001,9.846041666666665,15.911333333333333,18.327374999999996,14.946750000000002,8.36291304347826,1.1805652173913044,-9.28113043478261,-16.536347826086956
30,Acuña,Mexico,29.74N,101.54W,9.526958333333331,12.084166666666667,16.424374999999998,20.73175,25.364,28.652083333333326,29.168499999999995,29.247083333333332,25.773458333333334,20.319739130434787,14.331826086956521,9.624478260869566
31,Adana,Turkey,36.17N,35.80E,10.849166666666662,11.551250000000001,14.379875,17.633250000000004,21.399708333333333,24.87166666666666,27.36066666666667,28.223041666666663,26.229695652173913,22.600608695652177,16.752347826086954,12.38339130434783
32,Addis Abeba,Ethiopia,8.84N,38.11E,17.95,19.165208333333336,19.903750000000006,19.91454166666667,19.634500000000003,18.25916666666667,16.991958333333333,17.16433333333333,17.438043478260873,17.253478260869567,17.264782608695654,17.14069565217391
33,Adelaide,Australia,34.56S,138.16E,22.6425,22.745666666666665,20.415375000000004,17.205499999999997,14.219499999999998,11.71891666666667,10.899625,11.619333333333335,13.627043478260871,15.772695652173915,18.995434782608697,20.587869565217396
34,Aden,Yemen,13.66N,45.41E,22.11375,24.007166666666663,25.726708333333335,27.412958333333332,29.33966666666667,29.69033333333333,28.703625000000002,28.137499999999992,28.11873913043478,26.14747826086956,24.07791304347826,22.207478260869564
